Model,Year,Accuracy,MSE 
LR,Year 1,0.98,0.01
LR,Year 2,0.97,0.02
LR,Year 3,0.95,0.04
LR,Year 4,0.93,0.06
LR,Year 5,0.9,0.09
DT,Year 1,0.98,0.02
DT,Year 2,0.98,0.02
DT,Year 3,0.97,0.02
DT,Year 4,0.97,0.03
DT,Year 5,0.96,0.04
RF,Year 1,0.99,0.01
RF,Year 2,0.99,0.01
RF,Year 3,0.98,0.01
RF,Year 4,0.98,0.02
RF,Year 5,0.97,0.03
NN,Year 1,0.7877,0.1614
NN,Year 2,0.7718,0.1784
NN,Year 3,0.7511,0.2011
NN,Year 4,0.7338,0.2204
NN,Year 5,0.7093,0.2476
LSTM,Year 1,0.7514,0.1889
LSTM,Year 2,0.7452,0.1992
LSTM,Year 3,0.7364,0.213
LSTM,Year 4,0.7269,0.2261
LSTM,Year 5,0.722,0.2368
MLP,Year 1,0.8825,0.0893
MLP,Year 2,0.8707,0.1011
MLP,Year 3,0.8505,0.1208
MLP,Year 4,0.8358,0.1359
MLP,Year 5,0.8142,0.1582
